Date,Price,Open,High,Low,Vol.,Change %
2021/3/18,351.75,358.23,359.02,351.29,482.20K,-3.21%
2021/3/19,351.54,352.11,354.03,349,405.52K,-0.06%
2021/3/22,357.96,353.02,359.76,352.86,880.57K,1.83%
2021/3/23,355.26,358.94,360.23,354.26,302.47K,-0.75%
2021/3/24,349.81,357.39,357.43,349.81,364.12K,-1.53%
2021/3/25,349.89,347.82,350.99,344.8,438.25K,0.02%
2021/3/26,357.59,349.3,357.97,349.09,366.63K,2.20%
2021/3/29,354.9,356.76,357.73,352.86,431.48K,-0.75%
2021/3/30,352.65,352.62,353.26,349.52,282.15K,-0.63%
2021/3/31,358.49,355.02,360.92,355.02,437.54K,1.66%
2021/4/1,365.97,363.24,366.1,363,405.71K,2.09%
2021/4/5,372.45,368.64,373.15,367.79,531.93K,1.77%
2021/4/6,371.78,372,374.02,370.23,260.92K,-0.18%
2021/4/7,373.12,371.55,373.81,370.1,257.86K,0.36%
2021/4/8,378.8,376.39,378.8,375.99,421.08K,1.52%
2021/4/9,381.95,377.35,382.11,376.45,321.69K,0.83%
2021/4/12,380.69,380.89,381.86,378.52,362.51K,-0.33%
2021/4/13,384.79,382.08,385,381.67,441.59K,1.08%
2021/4/14,380.62,385,385.48,379.86,492.00K,-1.08%
2021/4/15,387.09,384.37,387.32,384.37,417.49K,1.70%
2021/4/16,386.49,388.04,388.04,385,322.73K,-0.16%
2021/4/19,382.84,384.81,386.65,380.56,369.37K,-0.94%
2021/4/20,378.96,382.06,383.69,376.88,481.33K,-1.01%
2021/4/21,382.95,378.13,383.15,377.38,655.62K,1.05%
2021/4/22,379.39,382.5,384.99,377.62,589.98K,-0.93%
2021/4/23,384.92,380.04,386.32,380.04,229.73K,1.46%
2021/4/26,388.04,385.03,388.25,385.03,436.72K,0.81%
2021/4/27,386.68,388.71,388.73,385.57,451.81K,-0.35%
2021/4/28,383.62,385.34,385.49,383,387.12K,-0.79%
2021/4/29,382.44,386.8,386.8,378.53,399.98K,-0.31%
2021/4/30,376.94,378.52,380.62,376.1,370.62K,-1.44%
2021/5/3,375.43,378.7,379.47,374.49,526.64K,-0.40%
2021/5/4,367.82,372.32,372.32,363.6,736.48K,-2.03%
2021/5/5,366.72,370.55,371.74,366.06,331.06K,-0.30%
2021/5/6,368.96,366.41,369.12,362.81,486.27K,0.61%
2021/5/7,372.5,372.75,375,371.04,304.76K,0.96%
2021/5/10,362.87,371.03,371.03,362.76,449.86K,-2.59%
2021/5/11,362.55,355.5,363.39,354.29,806.15K,-0.09%
2021/5/12,351.88,356.84,358.94,350.99,851.60K,-2.94%
2021/5/13,355.88,355.49,359.22,352.97,499.08K,1.14%
2021/5/14,364.12,360.03,365.28,359,329.21K,2.32%
2021/5/17,361.38,362.13,362.28,357.93,335.72K,-0.75%
2021/5/18,359.01,362.82,363.93,358.85,392.84K,-0.66%
2021/5/19,360.27,353.06,360.42,352.7,336.03K,0.35%
2021/5/20,367.4,361.78,368.61,361.58,312.30K,1.98%
2021/5/21,365.64,369.44,370.1,365.34,272.24K,-0.48%
2021/5/24,372,368.57,373.32,368.53,738.82K,1.74%
2021/5/25,372.12,373.69,374.37,371.35,267.25K,0.03%
2021/5/26,372.85,373.04,374,371.61,259.11K,0.20%
2021/5/27,371.28,372.47,373.85,371.13,237.56K,-0.42%
2021/5/28,372.28,372.83,374.56,372.1,225.34K,0.27%
2021/6/1,370.61,373.98,374.47,369.69,441.29K,-0.45%
2021/6/2,372.72,371.41,374.12,370.61,376.13K,0.57%
2021/6/3,368.73,369.6,370.93,366.75,385.85K,-1.07%
2021/6/4,375.7,371.22,376.2,371.22,342.58K,1.89%
2021/6/7,376.22,375.46,376.42,374.49,504.81K,0.14%
2021/6/8,376.88,378.19,379.98,375.31,232.88K,0.18%
2021/6/9,376.68,378.69,379.13,376.59,182.86K,-0.05%
2021/6/10,380.07,377.33,380.31,376.41,367.80K,0.90%
2021/6/11,382.4,380.43,382.52,379.97,277.43K,0.61%
2021/6/14,386.62,383.04,386.62,381.88,302.50K,1.10%
2021/6/15,383.96,386.49,386.49,383.11,305.28K,-0.69%
2021/6/16,382.35,384.3,385.51,378.25,554.32K,-0.42%
2021/6/17,387.28,381,388.77,380.81,1.41M,1.29%
2021/6/18,384.18,385.31,387,383.39,918.59K,-0.80%
2021/6/21,387.6,384.3,387.81,381.38,585.94K,0.89%
2021/6/22,391.32,388,391.33,387.32,339.69K,0.96%
2021/6/23,391.05,391.41,392.4,390.42,256.42K,-0.07%
2021/6/24,393.14,393.7,394.54,392.75,348.19K,0.53%
2021/6/25,393.05,393.97,394,392.05,285.38K,-0.02%
2021/6/28,397.24,394.68,397.67,394.68,440.34K,1.07%
2021/6/29,400.08,397.31,400.17,396.61,779.46K,0.71%
2021/6/30,398.77,399.01,399.82,397.78,500.49K,-0.33%
2021/7/1,398.9,398.38,398.9,396.53,432.75K,0.03%
2021/7/2,403.71,401.19,404.09,400.82,379.73K,1.21%
2021/7/3,403.71,403.71,403.71,403.71,-,0.00%
2021/7/4,403.71,403.71,403.71,403.71,-,0.00%
2021/7/5,403.71,403.71,403.71,403.71,-,0.00%
2021/7/6,405.71,405.52,407.12,401.87,401.14K,0.50%
2021/7/7,407.27,407.76,408.3,404.85,1.09M,0.38%
2021/7/8,403.3,399.99,404.52,398.9,561.35K,-0.97%
2021/7/9,407.11,403.14,407.5,402.38,286.80K,0.94%
2021/7/12,407.07,408.8,409.15,405.87,1.24M,-0.01%
2021/7/13,407.95,406.65,410.99,405.85,1.36M,0.22%
2021/7/14,409.72,412.44,412.6,408.56,394.38K,0.43%
2021/7/15,405.99,409.05,409.06,403.56,493.47K,-0.91%
2021/7/16,402.28,407.38,408.85,401.8,415.51K,-0.91%
2021/7/19,397.41,397.26,398.95,394.44,733.13K,-1.21%
2021/7/20,403.87,399.43,406.19,397.08,909.14K,1.63%
2021/7/21,407.99,404.08,408.08,403.19,1.48M,1.02%
2021/7/22,410.7,408.72,411.21,408.72,326.45K,0.66%
2021/7/23,414.73,413.02,415.15,411.42,430.16K,0.98%
2021/7/26,414.83,413.07,415.4,413.07,316.94K,0.02%
2021/7/27,410.31,413.3,413.3,404.75,1.69M,-1.09%
2021/7/28,410.74,410.52,412.2,407.2,367.62K,0.10%
2021/7/29,412.77,412.8,414.2,412.65,597.25K,0.49%
2021/7/30,412.21,409.78,412.75,409.51,257.16K,-0.14%
2021/8/2,411.19,414.02,414.83,411.05,461.03K,-0.25%
2021/8/3,413.48,411.64,413.63,409.06,294.17K,0.56%
2021/8/4,414.51,413.65,415.47,412.45,380.15K,0.25%
2021/8/5,417.13,415.11,417.32,415,198.45K,0.63%
2021/8/6,416.48,415.49,416.83,415.07,233.21K,-0.16%
2021/8/7,416.48,416.48,416.48,416.48,-,0.00%
2021/8/8,416.48,416.48,416.48,416.48,-,0.00%
2021/8/9,415.46,416.91,416.91,415.36,223.82K,-0.24%
2021/8/10,412.33,416.32,416.9,411.41,381.48K,-0.75%
2021/8/11,411.97,414.28,414.28,409.8,1.20M,-0.09%
2021/8/12,414.2,410.04,414.48,410.04,218.97K,0.54%
2021/8/13,416.08,414.5,416.36,413.96,204.42K,0.45%
2021/8/16,416.85,415.75,416.9,410.99,306.27K,0.19%
2021/8/17,413.29,413.84,414.88,410.62,374.93K,-0.85%
2021/8/18,408.01,412.65,414,407.62,332.25K,-1.28%
2021/8/19,411.08,406,412.75,406,408.79K,0.75%
2021/8/20,416.28,412.85,416.67,411.98,447.38K,1.26%
2021/8/23,422.13,418,422.6,418,378.88K,1.41%
2021/8/24,422.73,423.01,423.82,422.3,329.86K,0.14%
2021/8/25,422.76,424.03,424.72,421.92,457.19K,0.01%
2021/8/26,420.28,423.24,423.24,420,248.18K,-0.59%
2021/8/27,425.09,420.95,425.45,420.45,232.42K,1.14%
2021/8/30,429.3,428,429.84,427.76,372.93K,0.99%
2021/8/31,426.68,427.32,428.09,426.1,1.79M,-0.61%
2021/9/1,426.96,429.16,429.6,426.66,538.16K,0.07%
2021/9/2,427.29,428.94,429.13,425.36,322.68K,0.08%
2021/9/3,429.35,426.8,430.24,426.31,259.76K,0.48%
2021/9/7,428.9,430.13,430.13,427.25,404.51K,-0.10%
2021/9/8,426.41,426.97,427.25,423.66,364.37K,-0.58%
2021/9/9,425.02,426.84,428.14,424.89,245.77K,-0.33%
2021/9/10,420.77,427.46,428.47,420.39,380.56K,-1.00%
2021/9/13,420.8,423.89,423.89,418.15,1.19M,0.01%
2021/9/14,420.27,422.06,423.54,419.08,1.63M,-0.13%
2021/9/15,423.86,421,424.11,419,301.92K,0.85%
2021/9/16,424.57,422.01,425,420.36,245.46K,0.17%
2021/9/17,418.87,423.85,423.85,417.96,328.96K,-1.34%
2021/9/20,410.84,410.88,413.81,405.34,2.28M,-1.92%
2021/9/21,411.05,411.89,413.6,409.55,342.15K,0.05%
2021/9/22,417.13,413.01,418.12,412.24,327.20K,1.48%
2021/9/23,422.52,419.08,423.55,418.3,356.51K,1.29%
2021/9/24,422.56,419.72,423.26,419.24,1.65M,0.01%
2021/9/27,418.42,419,419.59,416.13,376.25K,-0.98%
2021/9/28,405.34,412.37,413.58,405.13,1.45M,-3.13%
2021/9/29,403.53,406.6,408.11,402.98,688.28K,-0.45%
2021/9/30,401.29,406,407.84,401.29,463.86K,-0.56%
2021/10/1,406.86,403.14,408.03,398.68,687.32K,1.39%
2021/10/4,396.99,404.99,404.99,394.1,873.68K,-2.43%
2021/10/5,402.72,398.28,405,397.94,475.84K,1.44%
2021/10/6,405.5,399.35,405.84,397.24,1.89M,0.69%
2021/10/7,409.86,409.41,413.07,409.37,1.66M,1.08%
2021/10/8,407.93,411.62,411.62,407.48,248.98K,-0.47%
2021/10/11,405.65,406.41,410.9,405.63,257.14K,-0.56%
2021/10/12,404.69,406.5,407.23,404.01,227.53K,-0.24%
2021/10/13,408.09,406.77,408.38,404.91,608.07K,0.84%
2021/10/14,416.93,412.54,417.22,412.05,595.71K,2.17%
2021/10/15,419.86,418.75,420,417.45,397.50K,0.70%
2021/10/18,423.78,417.46,423.97,417.25,333.74K,0.93%
2021/10/19,427.68,424.5,428.14,424.5,370.95K,0.92%
2021/10/20,426.85,428.58,428.76,425,711.76K,-0.19%
2021/10/21,428.69,425.26,428.98,424.55,411.45K,0.43%
2021/10/22,426.87,428.28,430.36,425.23,274.75K,-0.42%
2021/10/25,428.87,427,430.21,427,267.07K,0.47%
2021/10/26,429.44,431.8,433.13,428.95,376.28K,0.13%
2021/10/27,427.82,430.14,431.29,427.82,289.44K,-0.38%
2021/10/28,432.19,429.62,432.64,429.62,260.92K,1.02%
2021/10/29,434.16,428.09,434.43,427.8,282.42K,0.46%
2021/11/1,434.68,434.04,434.85,432.4,373.10K,0.12%
2021/11/2,437.65,435.67,438.56,435.67,318.75K,0.68%
2021/11/3,440.29,436.54,441.03,436.09,303.66K,0.60%
2021/11/4,446.58,442.11,447.19,442.11,307.97K,1.43%
2021/11/5,448.09,449.66,451.36,445.44,350.81K,0.34%
2021/11/8,451.3,450.72,452.06,449.29,329.99K,0.72%
2021/11/9,450.1,452.35,452.35,447.68,355.56K,-0.27%
2021/11/10,441.69,446.22,448.5,440.23,1.60M,-1.87%
2021/11/11,444.08,445.12,445.32,443.56,270.76K,0.54%
2021/11/12,449.4,445.48,450.09,444.88,366.83K,1.20%
2021/11/15,448.8,450.9,451.26,446.38,410.01K,-0.13%
2021/11/16,453.48,447.8,454.06,447.8,314.23K,1.04%
2021/11/17,451.57,452.86,454.3,450.75,1.27M,-0.42%
2021/11/18,454.82,454.4,455.51,450.14,443.67K,0.72%
2021/11/19,457.47,456.79,459.42,455.2,1.18M,0.58%
2021/11/22,450.64,459.56,463.57,450.34,879.99K,-1.49%
2021/11/23,448.58,449,450.64,443.37,1.36M,-0.46%
2021/11/24,452.31,446.12,452.49,443.6,437.16K,0.83%
2021/11/26,442.12,446.53,449.76,440.24,565.21K,-2.25%
2021/11/29,452.15,449.27,453.28,446.99,589.28K,2.27%
2021/11/30,447.69,450.96,454.26,444.02,675.92K,-0.99%
2021/12/1,439.52,452.07,454.82,439.37,562.52K,-1.82%
2021/12/2,444.25,435.05,446.17,435.05,837.30K,1.08%
2021/12/3,436,445.64,446.42,430.74,1.02M,-1.86%
2021/12/6,439.71,436.8,440.88,431.24,521.97K,0.85%
2021/12/7,455.61,448.47,456.48,448.47,504.73K,3.62%
2021/12/8,458.65,456.02,458.99,452.78,323.82K,0.67%
2021/12/9,452.7,457.69,460.6,452.33,328.50K,-1.30%
2021/12/10,460.04,457.31,460.62,455.11,404.08K,1.62%
2021/12/13,453.29,460.9,462,452.8,444.62K,-1.47%
2021/12/14,445.87,447.65,450.5,440.66,593.25K,-1.64%
2021/12/15,457.67,446.33,458.37,441.89,495.41K,2.65%
2021/12/16,443.6,459.01,459.32,440.74,625.92K,-3.07%
2021/12/17,442.06,438.76,446.07,436.71,411.20K,-0.35%
2021/12/20,436.87,435.9,438.12,433.66,569.26K,-1.17%
2021/12/21,448.65,441.93,449.07,437.62,490.44K,2.70%
2021/12/22,454.01,447.97,454.3,446.79,358.79K,1.19%
2021/12/23,456.49,454.84,458.28,454.37,301.33K,0.55%
2021/12/27,466.1,457.96,466.1,457.96,512.27K,2.11%
2021/12/28,462.84,466.83,467.06,461.58,518.22K,-0.70%
2021/12/29,462.88,462.7,464.56,460.05,366.45K,0.01%
2021/12/30,460.46,462.8,465.06,460.02,334.27K,-0.52%
2021/12/31,458.17,460.34,461.37,457.91,400.18K,-0.50%
2022/1/3,462,458.73,462.5,456.13,556.50K,0.84%
2022/1/4,456.16,462.4,463,451.79,821.16K,-1.26%
2022/1/5,441.02,453.11,453.97,440.82,944.66K,-3.32%
2022/1/6,439.35,437.33,443.43,435.71,729.13K,-0.38%
2022/1/7,434.86,439.21,441.63,432.12,1.84M,-1.02%
2022/1/10,435.32,427.96,435.88,422,2.71M,0.11%
2022/1/11,441.07,434.35,441.75,431.41,566.77K,1.32%
2022/1/12,442.51,444.24,447.46,440.4,1.19M,0.33%
2022/1/13,430,444.2,445.73,429.12,598.73K,-2.83%
2022/1/14,433.47,427.68,433.82,427.14,492.99K,0.81%
2022/1/18,422.41,427,429.91,421.5,729.72K,-2.55%
2022/1/19,416.52,424.01,429.23,416.3,2.50M,-1.39%
2022/1/20,411.34,420.42,425.74,410.79,627.18K,-1.24%
2022/1/21,402.43,409.21,414.6,402.29,1.87M,-2.17%
2022/1/24,405.03,393.88,405.49,380.63,6.23M,0.65%
2022/1/25,395.08,397.17,402.58,390.8,834.36K,-2.46%
2022/1/26,396.45,406.6,410.36,391.96,2.74M,0.35%
2022/1/27,393.09,402.79,405,391.61,653.69K,-0.85%
2022/1/28,409.84,397.86,410,391.4,936.15K,4.26%
2022/1/31,422.26,410.5,422.8,409,680.66K,3.03%
2022/2/1,424.01,423,424.62,417.01,1.58M,0.41%
2022/2/2,426.21,425.23,427.15,420.62,498.24K,0.52%
2022/2/3,412.93,419.15,422.36,411.39,687.12K,-3.12%
2022/2/4,416.08,412.27,419.73,409.59,457.12K,0.76%
2022/2/7,414.04,416.84,419.84,412.38,350.94K,-0.49%
2022/2/8,419.38,412.55,420.59,411.42,273.94K,1.29%
2022/2/9,429.68,424.8,429.68,423.15,1.19M,2.46%
2022/2/10,419.19,421.58,429.47,416.72,766.36K,-2.44%
2022/2/11,405.96,419.5,421.72,404.36,1.45M,-3.16%
2022/2/14,405.89,404.87,409.66,401.41,2.26M,-0.02%
2022/2/15,417.58,412.18,417.8,411.05,369.33K,2.88%
2022/2/16,416.84,414.2,418.1,409.8,329.98K,-0.18%
2022/2/17,403.13,412.71,412.99,402.5,455.98K,-3.29%
2022/2/18,398.09,404.57,405.04,395.28,646.58K,-1.25%
2022/2/22,394.18,394.59,400.98,390.19,2.18M,-0.98%
2022/2/23,384.21,398.11,399.59,383.62,717.56K,-2.53%
2022/2/24,398.09,370.88,398.61,369.01,2.31M,3.61%
2022/2/25,403.82,398.86,403.95,393.95,670.75K,1.44%
2022/2/28,403.91,400.15,406.02,397.29,592.38K,0.02%
2022/3/1,396.14,402.59,404.98,393,355.53K,-1.92%
2022/3/2,404.39,398.55,405.99,395.5,358.67K,2.08%
2022/3/3,398.1,407.13,407.13,396.22,369.78K,-1.56%
2022/3/4,390.16,395.42,396.83,387.37,435.57K,-1.99%
2022/3/7,375.53,390.16,392.06,375.17,881.91K,-3.75%
2022/3/8,373.68,374.52,385.52,368.57,1.79M,-0.49%
2022/3/9,389.61,383.56,391.01,381.47,663.15K,4.26%
2022/3/10,382.88,382.67,383.89,377.01,988.20K,-1.73%
2022/3/11,374.92,386.39,386.39,374.5,796.30K,-2.08%
2022/3/14,366.81,373.39,377.02,365.92,1.09M,-2.16%
2022/3/15,379.14,369.5,380,368.24,508.61K,3.36%
2022/3/16,393.02,383.8,393.17,378.79,666.80K,3.66%
2022/3/17,397.29,390.46,397.29,389.06,410.50K,1.09%
2022/3/18,406.39,395.85,406.88,393.96,506.50K,2.29%
2022/3/21,405.36,404.92,407.8,399.94,488.26K,-0.25%
2022/3/22,411.85,405.48,414.1,405.22,413.34K,1.60%
2022/3/23,405.58,407.65,412.31,404.74,388.50K,-1.52%
2022/3/24,415.49,406.5,415.49,405.49,341.52K,2.44%
2022/3/25,414.52,415.64,416.25,409.64,307.18K,-0.23%
2022/3/28,419.64,412.76,419.71,411.28,514.56K,1.24%
2022/3/29,428.92,424.54,429.56,421.62,1.96M,2.21%
2022/3/30,422.42,426.65,427.72,420.32,412.76K,-1.52%
2022/3/31,416.48,422.43,423.43,416,526.34K,-1.41%
2022/4/1,415.26,416.5,417.97,410.79,311.72K,-0.29%
2022/4/4,423.43,416.08,423.56,416.08,297.74K,1.97%
2022/4/5,413.42,421.71,422.3,412,652.69K,-2.36%
2022/4/6,402.32,406.78,407.04,399.21,599.17K,-2.68%
2022/4/7,403.57,401.6,406.01,397.51,330.45K,0.31%
2022/4/8,397.65,401.49,402.25,396.66,444.32K,-1.47%
2022/4/11,388.23,392.54,392.88,387.89,498.14K,-2.37%
2022/4/12,387.17,393.98,396.85,385.54,2.72M,-0.27%
2022/4/13,393.92,387.26,395.26,386.09,591.94K,1.74%
2022/4/14,384.18,394.27,395.14,384,392.72K,-2.47%
2022/4/18,384.63,382.43,387.24,381.21,672.81K,0.12%
2022/4/19,392.38,383.89,393.01,382.29,368.32K,2.01%
2022/4/20,390.76,396.13,397.25,389.72,405.04K,-0.41%
2022/4/21,383.24,394.35,398.52,381.92,459.65K,-1.92%
2022/4/22,372.65,383.44,384.86,372.28,753.06K,-2.76%
2022/4/25,378.73,370.57,378.86,369.25,644.04K,1.63%
2022/4/26,364.31,375.58,375.69,364.31,710.77K,-3.81%
2022/4/27,368.23,366.7,375.17,366.2,1.70M,1.08%
2022/4/28,383.13,374.2,385.39,371.7,571.39K,4.05%
2022/4/29,367.2,378.64,384.22,366.75,615.53K,-4.16%
2022/5/2,373.27,366.38,373.6,362.9,711.19K,1.65%
2022/5/3,373.51,372.75,375.5,370.15,405.92K,0.06%
2022/5/4,386.46,374.85,387.02,367.65,3.29M,3.47%
2022/5/5,366.73,380.63,380.95,362.33,863.22K,-5.11%
2022/5/6,362.75,363.8,369.02,357.05,1.77M,-1.09%
2022/5/9,347.13,356.31,358.3,345.52,2.19M,-4.31%
2022/5/10,352.17,355.51,357.1,346.23,1.74M,1.45%
2022/5/11,340.11,348.78,355.86,339.17,2.35M,-3.42%
2022/5/12,337.61,334.87,342.75,329.63,1.25M,-0.74%
2022/5/13,350.38,342.14,352.11,341.18,624.75K,3.78%
2022/5/16,346.2,347.9,350.92,343.85,2.10M,-1.19%
2022/5/17,356,353.58,356.39,349.12,489.72K,2.83%
2022/5/18,339.59,350.95,352.33,338.35,577.13K,-4.61%
2022/5/19,337.22,337.34,343.01,334.82,648.40K,-0.70%
2022/5/20,337.77,341.22,343.01,327.06,653.68K,0.16%
2022/5/23,344.92,338.87,345.44,337.28,522.30K,2.12%
2022/5/24,338.25,340.17,341.44,333,642.43K,-1.93%
2022/5/25,343.1,336.02,345.65,336.02,416.82K,1.43%
2022/5/26,351.8,341.58,353.29,340,570.17K,2.54%
2022/5/27,364.06,355.35,364.15,355.35,1.19M,3.48%
2022/5/31,361.1,362.64,364.71,357.58,481.11K,-0.81%
